CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Status
Jonathan Bennett,19,2,Percent,30.0,8.3%,0.0%-98.9%,8.414716720581055,6.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Lea Thompson,19,2,Percent,35.0,9.7%,0.0%-98.9%,11.875906944274902,1.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Janel Parrish,19,2,Percent,34.0,9.4%,0.0%-98.9%,11.414259910583496,2.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Alfonso Ribeiro,19,2,Percent,32.0,8.8%,0.0%-98.9%,9.701132774353027,4.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Randy Couture,19,2,Percent,28.0,7.7%,0.0%-98.9%,6.772152900695801,7.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Tommy Chong,19,2,Percent,28.0,7.7%,0.0%-98.9%,6.772152900695801,7.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Betsey Johnson,19,2,Percent,28.0,7.7%,0.0%-98.9%,6.772152900695801,7.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Michael Waltrip,19,2,Percent,24.0,6.6%,1.1%-100.0%,3.6841299533843994,9.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Tavis Smiley,19,2,Percent,28.0,7.7%,0.0%-8.9%,6.330365180969238,8.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Eliminated (Place 12)
Bethany Mota,19,2,Percent,33.0,9.1%,0.0%-98.9%,10.43731689453125,3.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Sadie Robertson,19,2,Percent,31.0,8.6%,0.0%-98.9%,8.912858009338379,5.0,0.03108170093037188,0.00012792328197974712,0.0,0.0019930601119995117,0.031424630433321,Safe
Antonio Sabato Jr.,19,3,Percent,29.0,8.2%,0.0%-100.0%,7.621341705322266,5.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Jonathan Bennett,19,3,Percent,32.0,9.1%,0.0%-100.0%,9.039093971252441,3.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Lea Thompson,19,3,Percent,31.0,8.8%,0.0%-100.0%,8.583588600158691,4.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Janel Parrish,19,3,Percent,40.0,11.3%,0.0%-100.0%,12.98628044128418,1.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Alfonso Ribeiro,19,3,Percent,32.0,9.1%,0.0%-100.0%,9.039093971252441,3.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Randy Couture,19,3,Percent,26.0,7.4%,0.0%-10.8%,6.075066566467285,7.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Eliminated (Place 11)
Tommy Chong,19,3,Percent,34.0,9.6%,0.0%-100.0%,10.084574699401855,2.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Betsey Johnson,19,3,Percent,29.0,8.2%,0.0%-100.0%,7.621341705322266,5.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Michael Waltrip,19,3,Percent,28.0,7.9%,0.0%-100.0%,6.9242448806762695,6.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Bethany Mota,19,3,Percent,40.0,11.3%,0.0%-100.0%,12.98628044128418,1.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Sadie Robertson,19,3,Percent,32.0,9.1%,0.0%-100.0%,9.039093971252441,3.0,0.012359272688627243,0.0,0.0,0.0003190040588378906,0.020067114382982254,Safe
Antonio Sabato Jr.,19,4,Percent,29.0,9.1%,0.0%-96.9%,9.148957252502441,6.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Jonathan Bennett,19,4,Percent,24.0,7.5%,1.6%-98.4%,7.811418056488037,10.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Lea Thompson,19,4,Percent,39.0,12.2%,0.0%-96.9%,12.009060859680176,2.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Janel Parrish,19,4,Percent,36.0,11.2%,0.0%-96.9%,11.147603034973145,4.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Alfonso Ribeiro,19,4,Percent,40.0,12.5%,0.0%-96.9%,12.30781078338623,1.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Tommy Chong,19,4,Percent,28.0,8.8%,0.3%-97.2%,8.862401008605957,8.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Betsey Johnson,19,4,Percent,29.0,9.1%,0.0%-10.9%,8.917512893676758,7.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Eliminated (Place 10)
Michael Waltrip,19,4,Percent,25.0,7.8%,1.2%-98.1%,8.059864044189453,9.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Bethany Mota,19,4,Percent,33.0,10.3%,0.0%-96.9%,10.289095878601074,5.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Sadie Robertson,19,4,Percent,37.0,11.6%,0.0%-96.9%,11.446273803710938,3.0,0.01727706203237176,0.00012998571037314832,0.0,0.001314699649810791,0.009272509254515171,Safe
Antonio Sabato Jr.,19,5,Percent,28.0,10.6%,0.0%-100.0%,10.726509094238281,5.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Jonathan Bennett,19,5,Percent,24.0,9.1%,0.0%-100.0%,9.575244903564453,6.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Lea Thompson,19,5,Percent,34.0,12.9%,0.0%-100.0%,12.474194526672363,2.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Janel Parrish,19,5,Percent,33.0,12.5%,0.0%-100.0%,12.180984497070312,3.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Alfonso Ribeiro,19,5,Percent,34.0,12.9%,0.0%-100.0%,12.474194526672363,2.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Tommy Chong,19,5,Percent,23.0,8.7%,0.0%-100.0%,9.257500648498535,7.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Michael Waltrip,19,5,Percent,20.0,7.6%,0.0%-100.0%,8.379927635192871,8.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Bethany Mota,19,5,Percent,32.0,12.1%,0.0%-100.0%,11.873797416687012,4.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Sadie Robertson,19,5,Percent,36.0,13.6%,0.0%-100.0%,13.057640075683594,1.0,0.004673556052148342,0.0,0.0,1.6927719116210938e-05,0.007761047221720219,Safe
Antonio Sabato Jr.,19,6,Percent,28.0,9.6%,1.4%-98.0%,5.736280918121338,8.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Safe
Jonathan Bennett,19,6,Percent,32.0,10.9%,0.0%-11.3%,7.39303731918335,7.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Eliminated (Place 9)
Lea Thompson,19,6,Percent,32.0,10.9%,0.0%-96.6%,10.309527397155762,5.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Safe
Janel Parrish,19,6,Percent,33.0,11.3%,0.0%-96.6%,11.758952140808105,4.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Safe
Alfonso Ribeiro,19,6,Percent,39.0,13.3%,0.0%-96.6%,20.521190643310547,1.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Safe
Tommy Chong,19,6,Percent,28.0,9.6%,1.4%-98.0%,5.731324195861816,9.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Safe
Michael Waltrip,19,6,Percent,30.0,10.2%,0.7%-97.3%,7.733200550079346,6.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Safe
Bethany Mota,19,6,Percent,36.0,12.3%,0.0%-96.6%,16.00390625,2.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Safe
Sadie Robertson,19,6,Percent,35.0,11.9%,0.0%-96.6%,14.812570571899414,3.0,0.08410037653520702,0.0002301441563758999,0.0,0.025845706462860107,0.06640522927045822,Safe
Antonio Sabato Jr.,19,7,Percent,29.5,11.4%,0.0%-13.6%,8.787690162658691,7.0,0.022442352015059442,3.9730304706608877e-05,0.0,0.0025360584259033203,0.027879782021045685,Eliminated (Place 8)
Lea Thompson,19,7,Percent,35.0,13.5%,0.0%-99.4%,15.220004081726074,2.0,0.022442352015059442,3.9730304706608877e-05,0.0,0.0025360584259033203,0.027879782021045685,Safe
Janel Parrish,19,7,Percent,33.5,13.0%,0.0%-99.4%,14.073060035705566,4.0,0.022442352015059442,3.9730304706608877e-05,0.0,0.0025360584259033203,0.027879782021045685,Safe
Alfonso Ribeiro,19,7,Percent,34.0,13.2%,0.0%-99.4%,14.630240440368652,3.0,0.022442352015059442,3.9730304706608877e-05,0.0,0.0025360584259033203,0.027879782021045685,Safe
Tommy Chong,19,7,Percent,30.0,11.6%,0.0%-99.4%,9.881407737731934,6.0,0.022442352015059442,3.9730304706608877e-05,0.0,0.0025360584259033203,0.027879782021045685,Safe
Michael Waltrip,19,7,Percent,28.0,10.8%,0.6%-100.0%,7.70029354095459,8.0,0.022442352015059442,3.9730304706608877e-05,0.0,0.0025360584259033203,0.027879782021045685,Safe
Bethany Mota,19,7,Percent,37.5,14.5%,0.0%-99.4%,18.655508041381836,1.0,0.022442352015059442,3.9730304706608877e-05,0.0,0.0025360584259033203,0.027879782021045685,Safe
Sadie Robertson,19,7,Percent,31.0,12.0%,0.0%-99.4%,11.051782608032227,5.0,0.022442352015059442,3.9730304706608877e-05,0.0,0.0025360584259033203,0.027879782021045685,Safe
Lea Thompson,19,8,Percent,32.0,12.9%,0.0%-100.0%,12.801559448242188,5.0,0.00811660811305046,0.0,0.0,0.00010675191879272461,0.013349760323762894,Safe
Janel Parrish,19,8,Percent,43.0,17.3%,0.0%-100.0%,17.560012817382812,1.0,0.00811660811305046,0.0,0.0,0.00010675191879272461,0.013349760323762894,Safe
Alfonso Ribeiro,19,8,Percent,41.0,16.5%,0.0%-100.0%,16.799999237060547,2.0,0.00811660811305046,0.0,0.0,0.00010675191879272461,0.013349760323762894,Safe
Tommy Chong,19,8,Percent,29.0,11.7%,0.0%-100.0%,11.499134063720703,6.0,0.00811660811305046,0.0,0.0,0.00010675191879272461,0.013349760323762894,Safe
Michael Waltrip,19,8,Percent,25.0,10.1%,0.0%-18.5%,9.727980613708496,7.0,0.00811660811305046,0.0,0.0,0.00010675191879272461,0.013349760323762894,Eliminated (Place 7)
Bethany Mota,19,8,Percent,40.0,16.1%,0.0%-100.0%,16.237781524658203,3.0,0.00811660811305046,0.0,0.0,0.00010675191879272461,0.013349760323762894,Safe
Sadie Robertson,19,8,Percent,38.0,15.3%,0.0%-100.0%,15.37353229522705,4.0,0.00811660811305046,0.0,0.0,0.00010675191879272461,0.013349760323762894,Safe
Lea Thompson,19,9,Percent,35.0,16.4%,0.0%-17.0%,15.321968078613281,4.0,0.08897474631667138,0.0009074541740119457,0.0,0.011285185813903809,0.008488710969686508,Eliminated (Place 6)
Janel Parrish,19,9,Percent,38.5,18.0%,0.0%-97.0%,18.929443359375,1.0,0.08897474631667138,0.0009074541740119457,0.0,0.011285185813903809,0.008488710969686508,Safe
Alfonso Ribeiro,19,9,Percent,38.5,18.0%,0.0%-97.0%,18.929443359375,1.0,0.08897474631667138,0.0009074541740119457,0.0,0.011285185813903809,0.008488710969686508,Safe
Tommy Chong,19,9,Percent,28.5,13.3%,3.0%-100.0%,11.62342643737793,5.0,0.08897474631667138,0.0009074541740119457,0.0,0.011285185813903809,0.008488710969686508,Safe
Bethany Mota,19,9,Percent,37.0,17.3%,0.0%-97.0%,17.804203033447266,2.0,0.08897474631667138,0.0009074541740119457,0.0,0.011285185813903809,0.008488710969686508,Safe
Sadie Robertson,19,9,Percent,36.5,17.1%,0.0%-97.0%,17.391521453857422,3.0,0.08897474631667138,0.0009074541740119457,0.0,0.011285185813903809,0.008488710969686508,Safe
Janel Parrish,19,10,Percent,39.0,21.4%,0.0%-100.0%,23.562713623046875,1.0,0.00903141014277935,0.0,0.0,2.485513687133789e-05,0.015010925009846687,Safe
Alfonso Ribeiro,19,10,Percent,37.5,20.5%,0.0%-100.0%,21.471303939819336,3.0,0.00903141014277935,0.0,0.0,2.485513687133789e-05,0.015010925009846687,Safe
Tommy Chong,19,10,Percent,31.0,17.0%,0.0%-23.0%,12.109607696533203,5.0,0.00903141014277935,0.0,0.0,2.485513687133789e-05,0.015010925009846687,Eliminated (Place 5)
Bethany Mota,19,10,Percent,38.0,20.8%,0.0%-100.0%,22.11231803894043,2.0,0.00903141014277935,0.0,0.0,2.485513687133789e-05,0.015010925009846687,Safe
Sadie Robertson,19,10,Percent,37.0,20.3%,0.0%-100.0%,20.74405288696289,4.0,0.00903141014277935,0.0,0.0,2.485513687133789e-05,0.015010925009846687,Safe
Janel Parrish,19,11,Percent,38.9998,24.9%,0.0%-50.3%,24.52342414855957,3.0,0.00780029222369194,0.0,0.0,0.00010985136032104492,0.012817401438951492,Eliminated (Place 3)
Alfonso Ribeiro,19,11,Percent,40.0,25.6%,24.4%-100.0%,31.48065185546875,1.0,0.00780029222369194,0.0,0.0,0.00010985136032104492,0.012817401438951492,Safe
Bethany Mota,19,11,Percent,38.0,24.3%,0.0%-50.6%,17.196508407592773,4.0,0.00780029222369194,0.0,0.0,0.00010985136032104492,0.012817401438951492,Eliminated (Place 4)
Sadie Robertson,19,11,Percent,39.333200000000005,25.2%,0.0%-50.2%,26.799415588378906,2.0,0.00780029222369194,0.0,0.0,0.00010985136032104492,0.012817401438951492,Eliminated (Place 2)
Suzanne Somers,20,1,Percent,25.0,7.9%,0.0%-100.0%,7.938343048095703,6.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Willow Shields,20,1,Percent,25.0,7.9%,0.0%-100.0%,7.938343048095703,6.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Riker Lynch,20,1,Percent,31.0,9.7%,0.0%-100.0%,9.514765739440918,2.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Rumer Willis,20,1,Percent,32.0,10.1%,0.0%-100.0%,9.783285140991211,1.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Nastia Liukin,20,1,Percent,30.0,9.4%,0.0%-100.0%,9.256118774414062,3.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Michael Sam,20,1,Percent,26.0,8.2%,0.0%-100.0%,8.202378273010254,5.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Robert Herjavec,20,1,Percent,28.0,8.8%,0.0%-100.0%,8.726703643798828,4.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Charlotte McKinney,20,1,Percent,22.0,6.9%,0.0%-100.0%,7.148487091064453,7.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Noah Galloway,20,1,Percent,26.0,8.2%,0.0%-100.0%,8.202378273010254,5.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Redfoo,20,1,Percent,22.0,6.9%,0.0%-100.0%,7.148487091064453,7.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Patti LaBelle,20,1,Percent,25.0,7.9%,0.0%-100.0%,7.938343048095703,6.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Chris Soules,20,1,Percent,26.0,8.2%,0.0%-100.0%,8.202378273010254,5.0,0.002193543128669262,0.0,0.0,1.3709068298339844e-06,0.00365362036973238,Safe
Suzanne Somers,20,2,Percent,28.0,8.1%,0.9%-91.9%,8.03258228302002,3.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Willow Shields,20,2,Percent,32.0,9.2%,0.0%-91.1%,10.69249153137207,2.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Riker Lynch,20,2,Percent,32.0,9.2%,0.0%-91.1%,10.69249153137207,2.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Rumer Willis,20,2,Percent,32.0,9.2%,0.0%-91.1%,10.69249153137207,2.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Nastia Liukin,20,2,Percent,34.0,9.8%,0.0%-91.1%,12.058050155639648,1.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Michael Sam,20,2,Percent,28.0,8.1%,0.9%-91.9%,8.03258228302002,3.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Robert Herjavec,20,2,Percent,28.0,8.1%,0.9%-91.9%,8.03258228302002,3.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Charlotte McKinney,20,2,Percent,26.0,7.5%,1.4%-92.5%,6.285496234893799,6.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Noah Galloway,20,2,Percent,27.0,7.8%,1.2%-92.2%,7.105449676513672,5.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Redfoo,20,2,Percent,31.0,8.9%,0.0%-7.7%,7.539276123046875,4.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Eliminated (Place 12)
Patti LaBelle,20,2,Percent,28.0,8.1%,0.9%-91.9%,8.03258228302002,3.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Chris Soules,20,2,Percent,21.0,6.1%,2.9%-93.9%,2.803927183151245,7.0,0.11407877100900805,0.0006213777232915163,1.4024070878804196e-05,0.04223001003265381,0.03685082495212555,Safe
Suzanne Somers,20,3,Percent,25.0,8.0%,0.0%-100.0%,7.884346008300781,7.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Willow Shields,20,3,Percent,32.0,10.2%,0.0%-100.0%,10.332586288452148,3.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Riker Lynch,20,3,Percent,34.0,10.9%,0.0%-100.0%,10.988967895507812,1.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Rumer Willis,20,3,Percent,33.0,10.5%,0.0%-100.0%,10.67326545715332,2.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Nastia Liukin,20,3,Percent,34.0,10.9%,0.0%-100.0%,10.988967895507812,1.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Michael Sam,20,3,Percent,24.0,7.7%,0.0%-100.0%,7.5489325523376465,8.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Robert Herjavec,20,3,Percent,29.0,9.3%,0.0%-100.0%,9.276083946228027,5.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Charlotte McKinney,20,3,Percent,22.0,7.0%,0.0%-11.2%,6.866443157196045,9.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Eliminated (Place 11)
Noah Galloway,20,3,Percent,30.0,9.6%,0.0%-100.0%,9.624826431274414,4.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Patti LaBelle,20,3,Percent,22.0,7.0%,0.0%-100.0%,6.866443157196045,9.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Chris Soules,20,3,Percent,28.0,8.9%,0.0%-100.0%,8.949138641357422,6.0,0.006623799726366997,0.0,0.0,2.944469451904297e-05,0.01099059171974659,Safe
Suzanne Somers,20,4,Percent,28.0,8.6%,0.6%-99.1%,6.927555084228516,8.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Willow Shields,20,4,Percent,39.0,12.0%,0.0%-98.5%,14.723871231079102,1.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Riker Lynch,20,4,Percent,34.0,10.5%,0.0%-98.5%,11.199980735778809,4.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Rumer Willis,20,4,Percent,35.0,10.8%,0.0%-98.5%,11.920760154724121,3.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Nastia Liukin,20,4,Percent,36.0,11.1%,0.0%-98.5%,12.79765510559082,2.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Michael Sam,20,4,Percent,30.0,9.2%,0.0%-10.8%,7.872691631317139,7.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Eliminated (Place 10)
Robert Herjavec,20,4,Percent,34.0,10.5%,0.0%-98.5%,11.199980735778809,4.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Noah Galloway,20,4,Percent,32.0,9.8%,0.0%-98.5%,9.569217681884766,5.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Patti LaBelle,20,4,Percent,30.0,9.2%,0.0%-98.5%,7.978914737701416,6.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Chris Soules,20,4,Percent,27.0,8.3%,0.9%-99.4%,5.809366703033447,9.0,0.028537968033924697,0.00012615353625733405,0.0,0.0017251372337341309,0.027867579832673073,Safe
Suzanne Somers,20,5,Percent,28.0,9.9%,0.0%-12.3%,7.729193687438965,6.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Eliminated (Place 9)
Willow Shields,20,5,Percent,34.0,12.0%,0.0%-97.9%,12.919584274291992,3.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Safe
Riker Lynch,20,5,Percent,38.0,13.4%,0.0%-97.9%,15.811683654785156,2.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Safe
Rumer Willis,20,5,Percent,39.0,13.8%,0.0%-97.9%,16.31269073486328,1.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Safe
Nastia Liukin,20,5,Percent,38.0,13.4%,0.0%-97.9%,15.811683654785156,2.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Safe
Robert Herjavec,20,5,Percent,24.0,8.5%,1.4%-99.3%,6.374324798583984,7.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Safe
Noah Galloway,20,5,Percent,28.0,9.9%,0.0%-97.9%,9.195891380310059,4.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Safe
Patti LaBelle,20,5,Percent,27.0,9.5%,0.4%-98.2%,7.92247200012207,5.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Safe
Chris Soules,20,5,Percent,27.0,9.5%,0.4%-98.2%,7.92247200012207,5.0,0.039220583229325715,9.643390512792394e-05,0.0,0.005521059036254883,0.04330801963806152,Safe
Willow Shields,20,6,Percent,36.5,12.9%,0.0%-99.8%,14.234302520751953,2.0,0.0074406534462468695,9.562275408825371e-06,0.0,0.0001315474510192871,0.010906873270869255,Safe
Riker Lynch,20,6,Percent,38.0,13.4%,0.0%-99.8%,16.47675323486328,1.0,0.0074406534462468695,9.562275408825371e-06,0.0,0.0001315474510192871,0.010906873270869255,Safe
Rumer Willis,20,6,Percent,35.5,12.5%,0.0%-99.8%,12.708266258239746,3.0,0.0074406534462468695,9.562275408825371e-06,0.0,0.0001315474510192871,0.010906873270869255,Safe
Nastia Liukin,20,6,Percent,36.5,12.9%,0.0%-99.8%,14.234302520751953,2.0,0.0074406534462468695,9.562275408825371e-06,0.0,0.0001315474510192871,0.010906873270869255,Safe
Robert Herjavec,20,6,Percent,33.5,11.8%,0.2%-100.0%,9.7111177444458,7.0,0.0074406534462468695,9.562275408825371e-06,0.0,0.0001315474510192871,0.010906873270869255,Safe
Noah Galloway,20,6,Percent,34.0,12.0%,0.0%-99.8%,10.381156921386719,5.0,0.0074406534462468695,9.562275408825371e-06,0.0,0.0001315474510192871,0.010906873270869255,Safe
Patti LaBelle,20,6,Percent,34.0,12.0%,0.0%-13.0%,10.352581977844238,6.0,0.0074406534462468695,9.562275408825371e-06,0.0,0.0001315474510192871,0.010906873270869255,Eliminated (Place 8)
Chris Soules,20,6,Percent,35.0,12.4%,0.0%-99.8%,11.901510238647461,4.0,0.0074406534462468695,9.562275408825371e-06,0.0,0.0001315474510192871,0.010906873270869255,Safe
Willow Shields,20,7,Percent,39.0,15.4%,0.0%-13.2%,10.037989616394043,4.0,0.3197765666991472,0.0012624269584193826,0.0,0.18121659755706787,0.06260968744754791,Eliminated (Place 7)
Riker Lynch,20,7,Percent,37.0,14.6%,0.8%-92.5%,16.50331687927246,3.0,0.3197765666991472,0.0012624269584193826,0.0,0.18121659755706787,0.06260968744754791,Safe
Rumer Willis,20,7,Percent,37.0,14.6%,0.8%-92.5%,16.50331687927246,3.0,0.3197765666991472,0.0012624269584193826,0.0,0.18121659755706787,0.06260968744754791,Safe
Nastia Liukin,20,7,Percent,41.0,16.1%,0.0%-91.7%,24.266389846801758,1.0,0.3197765666991472,0.0012624269584193826,0.0,0.18121659755706787,0.06260968744754791,Safe
Robert Herjavec,20,7,Percent,31.0,12.2%,3.1%-94.9%,7.033507347106934,5.0,0.3197765666991472,0.0012624269584193826,0.0,0.18121659755706787,0.06260968744754791,Safe
Noah Galloway,20,7,Percent,38.0,15.0%,0.4%-92.1%,18.62197494506836,2.0,0.3197765666991472,0.0012624269584193826,0.0,0.18121659755706787,0.06260968744754791,Safe
Chris Soules,20,7,Percent,31.0,12.2%,3.1%-94.9%,7.033507347106934,5.0,0.3197765666991472,0.0012624269584193826,0.0,0.18121659755706787,0.06260968744754791,Safe
