CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Loss_Trend,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_zeta_trend,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma,Percent_Predict,Rank_predict
Kelly Monaco,15,9,Percent,27.111,19.2%,3.9%-56.5%,24.51,2.0,6.919744478771463,9.35090793063864e-05,0.0,0.9017307162284852,0.076654702425003,0.0698909983038902,0.2793964743614197,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Apolo Anton Ohno,15,9,Percent,28.611,20.3%,0.6%-19.4%,5.7,5.0,6.919744478771463,9.35090793063864e-05,0.0,0.9017307162284852,0.076654702425003,0.0698909983038902,0.2793964743614197,Eliminated (Place 5),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,15,9,Percent,27.0,19.1%,3.0%-32.3%,20.05,3.0,6.919744478771463,9.35090793063864e-05,0.0,0.9017307162284852,0.076654702425003,0.0698909983038902,0.2793964743614197,Eliminated (Place 4),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Shawn Johnson,15,9,Percent,29.5,20.9%,15.5%-88.9%,33.32,1.0,6.919744478771463,9.35090793063864e-05,0.0,0.9017307162284852,0.076654702425003,0.0698909983038902,0.2793964743614197,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Melissa Rycroft,15,9,Percent,28.7777,20.4%,2.3%-43.4%,16.42,4.0,6.919744478771463,9.35090793063864e-05,0.0,0.9017307162284852,0.076654702425003,0.0698909983038902,0.2793964743614197,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kelly Monaco,15,10,Percent,29.1109,33.3%,35.3%-47.1%,39.24,1.0,7.051065718755126,0.0016322407172992,0.0,0.5804766416549683,0.0051847957074642,0.1004408821463584,0.4778302311897278,Eliminated (Place 3),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Shawn Johnson,15,10,Percent,28.9443,33.1%,4.1%-31.8%,27.48,3.0,7.051065718755126,0.0016322407172992,0.0,0.5804766416549683,0.0051847957074642,0.1004408821463584,0.4778302311897278,Eliminated (Place 2),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Melissa Rycroft,15,10,Percent,29.3331,33.6%,28.2%-44.9%,33.28,2.0,7.051065718755126,0.0016322407172992,0.0,0.5804766416549683,0.0051847957074642,0.1004408821463584,0.4778302311897278,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ingo Rademacher,16,1,Percent,20.0,8.7%,0.9%-12.1%,6.62,9.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Zendaya,16,1,Percent,24.0,10.5%,11.5%-26.7%,15.51,1.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Dorothy Hamill,16,1,Percent,21.0,9.2%,1.3%-14.9%,8.95,5.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Withdrew,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Victor Ortiz,16,1,Percent,18.0,7.9%,0.8%-11.4%,6.07,10.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alexandra Raisman,16,1,Percent,21.0,9.2%,1.1%-13.1%,7.96,6.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jacoby Jones,16,1,Percent,20.0,8.7%,3.2%-16.3%,10.57,3.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
D. L. Hughley,16,1,Percent,12.0,5.2%,0.0%-5.4%,0.2,12.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Andy Dick,16,1,Percent,17.0,7.4%,1.0%-12.2%,7.33,7.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Wynonna Judd,16,1,Percent,18.0,7.9%,0.7%-11.6%,5.64,11.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kellie Pickler,16,1,Percent,21.0,9.2%,11.0%-25.0%,14.78,2.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lisa Vanderpump,16,1,Percent,18.0,7.9%,1.0%-13.0%,7.16,8.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sean Lowe,16,1,Percent,19.0,8.3%,1.4%-14.1%,9.2,4.0,2.607707366347313,0.0,0.0,0.1289401054382324,0.110456459224224,0.3605668246746063,0.0428323745727539,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ingo Rademacher,16,2,Percent,20.0,8.2%,0.6%-12.5%,5.22,8.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Zendaya,16,2,Percent,26.0,10.7%,12.9%-32.9%,18.71,2.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Dorothy Hamill,16,2,Percent,15.0,6.1%,0.3%-10.5%,2.66,11.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Withdrew,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Victor Ortiz,16,2,Percent,18.0,7.4%,0.4%-11.8%,3.77,10.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alexandra Raisman,16,2,Percent,24.0,9.8%,1.3%-16.7%,9.25,4.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jacoby Jones,16,2,Percent,23.0,9.4%,3.4%-20.8%,12.26,3.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
D. L. Hughley,16,2,Percent,16.0,6.6%,0.1%-12.7%,0.73,12.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Andy Dick,16,2,Percent,20.0,8.2%,1.0%-15.1%,7.6,6.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Wynonna Judd,16,2,Percent,18.0,7.4%,0.5%-12.1%,4.27,9.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kellie Pickler,16,2,Percent,26.0,10.7%,14.4%-35.6%,20.78,1.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lisa Vanderpump,16,2,Percent,18.0,7.4%,0.8%-13.9%,6.13,7.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sean Lowe,16,2,Percent,20.0,8.2%,1.2%-16.0%,8.63,5.0,2.1875312422744173,0.0,2.7540492737898603e-05,0.0698209404945373,0.1890720129013061,0.2471817880868911,0.0673532485961914,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ingo Rademacher,16,3,Percent,21.0,8.9%,0.7%-12.7%,5.71,8.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Zendaya,16,3,Percent,25.9998,11.1%,12.8%-32.0%,18.39,2.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Victor Ortiz,16,3,Percent,23.0,9.8%,1.2%-15.3%,8.79,5.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alexandra Raisman,16,3,Percent,23.0,9.8%,1.1%-14.6%,7.81,6.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jacoby Jones,16,3,Percent,25.9998,11.1%,6.0%-22.3%,13.75,3.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
D. L. Hughley,16,3,Percent,16.0,6.8%,0.1%-10.5%,0.7,11.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Andy Dick,16,3,Percent,18.0,7.7%,0.6%-13.5%,5.19,9.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Wynonna Judd,16,3,Percent,15.0,6.4%,0.2%-8.0%,2.46,10.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Eliminated (Place 11),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kellie Pickler,16,3,Percent,25.0,10.6%,13.6%-33.3%,19.91,1.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lisa Vanderpump,16,3,Percent,21.0,8.9%,1.0%-15.6%,7.32,7.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sean Lowe,16,3,Percent,21.0,8.9%,1.4%-16.8%,9.98,4.0,2.324652880692156,1.7742813724908046e-05,0.0,0.1168767809867858,0.1679305583238601,0.225849911570549,0.0709642767906189,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ingo Rademacher,16,4,Percent,23.0,10.3%,1.1%-16.7%,8.02,5.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Zendaya,16,4,Percent,26.0,11.6%,12.6%-38.3%,20.63,2.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Victor Ortiz,16,4,Percent,18.0,8.0%,0.1%-11.2%,1.52,10.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alexandra Raisman,16,4,Percent,27.0,12.1%,1.6%-20.2%,11.05,4.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jacoby Jones,16,4,Percent,24.0,10.7%,2.1%-24.2%,13.48,3.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
D. L. Hughley,16,4,Percent,21.0,9.4%,1.0%-23.9%,7.39,6.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Andy Dick,16,4,Percent,21.0,9.4%,0.8%-17.1%,6.37,7.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kellie Pickler,16,4,Percent,26.0,11.6%,14.7%-42.4%,23.34,1.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lisa Vanderpump,16,4,Percent,18.0,8.0%,0.3%-9.8%,2.84,9.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Eliminated (Place 10),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sean Lowe,16,4,Percent,20.0,8.9%,0.6%-17.1%,5.35,8.0,2.78981165062578,1.9327777408761904e-05,8.924306894186884e-05,0.1461285948753357,0.1727858185768127,0.1995353996753692,0.1300784349441528,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ingo Rademacher,16,5,Percent,21.0,10.0%,0.6%-11.9%,4.87,8.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Zendaya,16,5,Percent,29.0,13.9%,16.7%-34.2%,22.79,1.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Victor Ortiz,16,5,Percent,21.0,10.0%,0.9%-12.7%,7.4,6.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alexandra Raisman,16,5,Percent,25.0,12.0%,1.3%-15.8%,9.48,5.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jacoby Jones,16,5,Percent,26.0,12.4%,7.8%-21.8%,14.81,3.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
D. L. Hughley,16,5,Percent,18.0,8.6%,0.1%-9.0%,1.22,9.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Eliminated (Place 9),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Andy Dick,16,5,Percent,18.0,8.6%,0.7%-11.9%,6.12,7.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kellie Pickler,16,5,Percent,27.0,12.9%,18.0%-34.4%,21.51,2.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sean Lowe,16,5,Percent,24.0,11.5%,2.9%-17.7%,11.8,4.0,1.730631611935678,0.0,6.792684143874794e-05,0.0766684412956237,0.1540370434522628,0.1699693500995636,0.0513048768043518,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ingo Rademacher,16,6,Percent,23.0,12.2%,0.8%-15.3%,6.85,6.0,2.148214286818984,0.0,3.431447839830071e-05,0.1000757217407226,0.1512203812599182,0.142977237701416,0.1104832887649536,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Zendaya,16,6,Percent,25.5,13.5%,16.1%-37.1%,22.65,2.0,2.148214286818984,0.0,3.431447839830071e-05,0.1000757217407226,0.1512203812599182,0.142977237701416,0.1104832887649536,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Victor Ortiz,16,6,Percent,20.0,10.6%,0.2%-9.5%,2.04,8.0,2.148214286818984,0.0,3.431447839830071e-05,0.1000757217407226,0.1512203812599182,0.142977237701416,0.1104832887649536,Eliminated (Place 8),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alexandra Raisman,16,6,Percent,26.0,13.8%,2.0%-20.9%,13.64,3.0,2.148214286818984,0.0,3.431447839830071e-05,0.1000757217407226,0.1512203812599182,0.142977237701416,0.1104832887649536,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jacoby Jones,16,6,Percent,22.5,11.9%,1.7%-19.8%,11.85,4.0,2.148214286818984,0.0,3.431447839830071e-05,0.1000757217407226,0.1512203812599182,0.142977237701416,0.1104832887649536,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Andy Dick,16,6,Percent,21.5,11.4%,0.6%-15.6%,5.43,7.0,2.148214286818984,0.0,3.431447839830071e-05,0.1000757217407226,0.1512203812599182,0.142977237701416,0.1104832887649536,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kellie Pickler,16,6,Percent,27.0,14.3%,21.0%-44.3%,27.71,1.0,2.148214286818984,0.0,3.431447839830071e-05,0.1000757217407226,0.1512203812599182,0.142977237701416,0.1104832887649536,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sean Lowe,16,6,Percent,23.0,12.2%,1.3%-18.4%,9.83,5.0,2.148214286818984,0.0,3.431447839830071e-05,0.1000757217407226,0.1512203812599182,0.142977237701416,0.1104832887649536,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ingo Rademacher,16,7,Percent,25.0,13.6%,0.8%-16.3%,6.54,6.0,2.98740787140612,0.0,2.0143748713508105e-07,0.2102811336517334,0.1272721886634826,0.1195568740367889,0.1718899607658386,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Zendaya,16,7,Percent,30.0,16.3%,15.5%-43.5%,26.61,1.0,2.98740787140612,0.0,2.0143748713508105e-07,0.2102811336517334,0.1272721886634826,0.1195568740367889,0.1718899607658386,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alexandra Raisman,16,7,Percent,32.0,17.4%,2.3%-23.4%,15.55,3.0,2.98740787140612,0.0,2.0143748713508105e-07,0.2102811336517334,0.1272721886634826,0.1195568740367889,0.1718899607658386,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jacoby Jones,16,7,Percent,27.0,14.7%,2.0%-26.3%,14.02,4.0,2.98740787140612,0.0,2.0143748713508105e-07,0.2102811336517334,0.1272721886634826,0.1195568740367889,0.1718899607658386,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Andy Dick,16,7,Percent,17.0,9.2%,0.2%-11.2%,2.6,7.0,2.98740787140612,0.0,2.0143748713508105e-07,0.2102811336517334,0.1272721886634826,0.1195568740367889,0.1718899607658386,Eliminated (Place 7),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kellie Pickler,16,7,Percent,29.0,15.8%,17.5%-46.4%,24.67,2.0,2.98740787140612,0.0,2.0143748713508105e-07,0.2102811336517334,0.1272721886634826,0.1195568740367889,0.1718899607658386,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sean Lowe,16,7,Percent,24.0,13.0%,1.3%-19.0%,10.01,5.0,2.98740787140612,0.0,2.0143748713508105e-07,0.2102811336517334,0.1272721886634826,0.1195568740367889,0.1718899607658386,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ingo Rademacher,16,8,Percent,24.0,15.4%,0.9%-14.8%,7.51,5.0,2.26455704607406,0.0,4.514183729042998e-06,0.1669474244117736,0.1150346249341964,0.0846669226884841,0.1230099201202392,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Zendaya,16,8,Percent,29.0,18.6%,21.7%-45.5%,30.42,1.0,2.26455704607406,0.0,4.514183729042998e-06,0.1669474244117736,0.1150346249341964,0.0846669226884841,0.1230099201202392,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alexandra Raisman,16,8,Percent,28.0,18.0%,1.8%-21.9%,13.14,4.0,2.26455704607406,0.0,4.514183729042998e-06,0.1669474244117736,0.1150346249341964,0.0846669226884841,0.1230099201202392,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jacoby Jones,16,8,Percent,26.0,16.7%,5.0%-24.6%,17.33,3.0,2.26455704607406,0.0,4.514183729042998e-06,0.1669474244117736,0.1150346249341964,0.0846669226884841,0.1230099201202392,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
