CelebrityName,Season,Week,RuleType,Possible_Audience_Vote_Range,Uncertainty_Range_Min,Uncertainty_Range_Max,Uncertainty_Range_Width,Uncertainty_Index
Mel B,5,3,Percent,23.4%-23.7%,23.4,23.7,0.3,0.003
Wayne Newton,5,3,Percent,4.5%-4.6%,4.5,4.6,0.1,0.001
Marie Osmond,5,3,Percent,16.8%-16.9%,16.8,16.9,0.1,0.001
Mark Cuban,5,3,Percent,7.0%-7.1%,7,7.1,0.1,0.001
Cameron Mathison,5,4,Percent,6.3%-6.6%,6.3,6.6,0.3,0.003
Jane Seymour,5,4,Percent,10.1%-10.3%,10.1,10.3,0.2,0.002
Sabrina Bryan,5,4,Percent,14.0%-14.1%,14,14.1,0.1,0.001
Jennie Garth,5,4,Percent,8.6%-9.0%,8.6,9,0.4,0.004
Floyd Mayweather Jr. ,5,4,Percent,0.5%-0.6%,0.5,0.6,0.1,0.001
Helio Castroneves,5,4,Percent,17.5%-18.1%,17.5,18.1,0.6,0.006
Mel B,5,4,Percent,21.3%-21.9%,21.3,21.9,0.6,0.006
Marie Osmond,5,4,Percent,15.1%-15.5%,15.1,15.5,0.4,0.004
Mark Cuban,5,4,Percent,5.2%-5.4%,5.2,5.4,0.2,0.002
Cameron Mathison,5,5,Percent,6.4%-6.4%,6.4,6.4,0,0
Jane Seymour,5,5,Percent,13.7%-13.7%,13.7,13.7,0,0
Sabrina Bryan,5,5,Percent,16.8%-16.8%,16.8,16.8,0,0
Jennie Garth,5,5,Percent,8.6%-8.7%,8.6,8.7,0.1,0.001
Helio Castroneves,5,5,Percent,2.4%-2.4%,2.4,2.4,0,0
Mel B,5,5,Percent,34.9%-35.0%,34.9,35,0.1,0.001
Marie Osmond,5,5,Percent,11.8%-11.8%,11.8,11.8,0,0
Mark Cuban,5,5,Percent,5.3%-5.3%,5.3,5.3,0,0
Cameron Mathison,5,6,Percent,6.3%-6.3%,6.3,6.3,0,0
Jane Seymour,5,6,Percent,5.2%-5.2%,5.2,5.2,0,0
Sabrina Bryan,5,6,Percent,8.5%-8.5%,8.5,8.5,0,0
Jennie Garth,5,6,Percent,11.7%-11.7%,11.7,11.7,0,0
Helio Castroneves,5,6,Percent,22.8%-22.8%,22.8,22.8,0,0
Mel B,5,6,Percent,30.6%-30.6%,30.6,30.6,0,0
Marie Osmond,5,6,Percent,14.9%-14.9%,14.9,14.9,0,0
Cameron Mathison,5,7,Percent,4.9%-5.0%,4.9,5,0.1,0.001
Jane Seymour,5,7,Percent,7.6%-7.6%,7.6,7.6,0,0
Jennie Garth,5,7,Percent,14.0%-14.0%,14,14,0,0
Helio Castroneves,5,7,Percent,17.4%-17.5%,17.4,17.5,0.1,0.001
Mel B,5,7,Percent,34.3%-34.4%,34.3,34.4,0.1,0.001
Marie Osmond,5,7,Percent,21.6%-21.6%,21.6,21.6,0,0
Cameron Mathison,5,8,Percent,10.0%-10.0%,10,10,0,0
Jennie Garth,5,8,Percent,8.6%-8.6%,8.6,8.6,0,0
Helio Castroneves,5,8,Percent,36.2%-36.2%,36.2,36.2,0,0
Mel B,5,8,Percent,28.1%-28.1%,28.1,28.1,0,0
Marie Osmond,5,8,Percent,17.1%-17.1%,17.1,17.1,0,0
Jennie Garth,5,9,Percent,10.3%-10.4%,10.3,10.4,0.1,0.001
Helio Castroneves,5,9,Percent,40.0%-40.2%,40,40.2,0.2,0.002
Mel B,5,9,Percent,32.0%-32.1%,32,32.1,0.1,0.001
Marie Osmond,5,9,Percent,17.4%-17.5%,17.4,17.5,0.1,0.001
Helio Castroneves,5,10,Percent,38.2%-38.2%,38.2,38.2,0,0
Mel B,5,10,Percent,42.0%-42.0%,42,42,0,0
Marie Osmond,5,10,Percent,19.8%-19.9%,19.8,19.9,0.1,0.001
Gilles Marini,8,1,Percent,15.5%-15.5%,15.5,15.5,0,0
Denise Richards,8,1,Percent,3.4%-3.4%,3.4,3.4,0,0
David Alan Grier,8,1,Percent,6.2%-6.2%,6.2,6.2,0,0
Lawrence Taylor,8,1,Percent,7.1%-7.1%,7.1,7.1,0,0
Ty Murray,8,1,Percent,1.5%-1.5%,1.5,1.5,0,0
Shawn Johnson,8,1,Percent,17.7%-17.7%,17.7,17.7,0,0
Steve Wozniak,8,1,Percent,0.9%-1.0%,0.9,1,0.1,0.001
Belinda Carlisle,8,1,Percent,2.2%-2.3%,2.2,2.3,0.1,0.001
Chuck Wicks,8,1,Percent,8.7%-8.7%,8.7,8.7,0,0
Lil' Kim,8,1,Percent,11.4%-11.5%,11.4,11.5,0.1,0.001
Steve-O,8,1,Percent,7.6%-7.6%,7.6,7.6,0,0
Holly Madison,8,1,Percent,4.2%-4.2%,4.2,4.2,0,0
Melissa Rycroft,8,1,Percent,13.4%-13.4%,13.4,13.4,0,0
Gilles Marini,8,2,Percent,17.0%-17.0%,17,17,0,0
Denise Richards,8,2,Percent,5.3%-5.4%,5.3,5.4,0.1,0.001
David Alan Grier,8,2,Percent,3.7%-3.7%,3.7,3.7,0,0
Lawrence Taylor,8,2,Percent,9.1%-9.2%,9.1,9.2,0.1,0.001
Ty Murray,8,2,Percent,5.0%-5.0%,5,5,0,0
Shawn Johnson,8,2,Percent,16.8%-16.8%,16.8,16.8,0,0
Steve Wozniak,8,2,Percent,2.2%-2.2%,2.2,2.2,0,0
Belinda Carlisle,8,2,Percent,1.0%-1.0%,1,1,0,0
Chuck Wicks,8,2,Percent,7.4%-7.4%,7.4,7.4,0,0
Lil' Kim,8,2,Percent,11.6%-11.7%,11.6,11.7,0.1,0.001
Steve-O,8,2,Percent,4.2%-4.2%,4.2,4.2,0,0
Holly Madison,8,2,Percent,2.5%-2.5%,2.5,2.5,0,0
Melissa Rycroft,8,2,Percent,14.1%-14.1%,14.1,14.1,0,0
Gilles Marini,8,3,Percent,15.2%-15.2%,15.2,15.2,0,0
Denise Richards,8,3,Percent,1.4%-1.4%,1.4,1.4,0,0
David Alan Grier,8,3,Percent,8.1%-8.1%,8.1,8.1,0,0
Lawrence Taylor,8,3,Percent,9.4%-9.4%,9.4,9.4,0,0
Ty Murray,8,3,Percent,5.8%-5.8%,5.8,5.8,0,0
Shawn Johnson,8,3,Percent,18.1%-18.1%,18.1,18.1,0,0
Steve Wozniak,8,3,Percent,0.8%-0.8%,0.8,0.8,0,0
Chuck Wicks,8,3,Percent,7.7%-7.7%,7.7,7.7,0,0
Lil' Kim,8,3,Percent,11.9%-11.9%,11.9,11.9,0,0
Steve-O,8,3,Percent,5.2%-5.2%,5.2,5.2,0,0
Holly Madison,8,3,Percent,2.8%-2.8%,2.8,2.8,0,0
Melissa Rycroft,8,3,Percent,13.5%-13.5%,13.5,13.5,0,0
Gilles Marini,8,4,Percent,17.8%-17.8%,17.8,17.8,0,0
David Alan Grier,8,4,Percent,6.0%-6.0%,6,6,0,0
Lawrence Taylor,8,4,Percent,9.2%-9.2%,9.2,9.2,0,0
Ty Murray,8,4,Percent,6.6%-6.6%,6.6,6.6,0,0
Shawn Johnson,8,4,Percent,17.5%-17.5%,17.5,17.5,0,0
Steve Wozniak,8,4,Percent,0.9%-0.9%,0.9,0.9,0,0
Chuck Wicks,8,4,Percent,8.0%-8.0%,8,8,0,0
Lil' Kim,8,4,Percent,12.8%-12.8%,12.8,12.8,0,0
Steve-O,8,4,Percent,4.8%-4.8%,4.8,4.8,0,0
Holly Madison,8,4,Percent,1.8%-1.8%,1.8,1.8,0,0
Melissa Rycroft,8,4,Percent,14.7%-14.7%,14.7,14.7,0,0
Gilles Marini,8,5,Percent,21.7%-21.7%,21.7,21.7,0,0
David Alan Grier,8,5,Percent,5.0%-5.0%,5,5,0,0
Lawrence Taylor,8,5,Percent,9.0%-9.0%,9,9,0,0
Ty Murray,8,5,Percent,2.2%-2.2%,2.2,2.2,0,0
Shawn Johnson,8,5,Percent,21.0%-21.0%,21,21,0,0
Chuck Wicks,8,5,Percent,7.7%-7.7%,7.7,7.7,0,0
Lil' Kim,8,5,Percent,15.3%-15.3%,15.3,15.3,0,0
Steve-O,8,5,Percent,4.3%-4.3%,4.3,4.3,0,0
Melissa Rycroft,8,5,Percent,13.9%-13.9%,13.9,13.9,0,0
Gilles Marini,8,6,Percent,19.1%-19.1%,19.1,19.1,0,0
Lawrence Taylor,8,6,Percent,10.9%-10.9%,10.9,10.9,0,0
Ty Murray,8,6,Percent,1.6%-1.6%,1.6,1.6,0,0
Shawn Johnson,8,6,Percent,23.2%-23.3%,23.2,23.3,0.1,0.001
Chuck Wicks,8,6,Percent,8.2%-8.2%,8.2,8.2,0,0
Lil' Kim,8,6,Percent,16.9%-16.9%,16.9,16.9,0,0
Steve-O,8,6,Percent,4.5%-4.6%,4.5,4.6,0.1,0.001
Melissa Rycroft,8,6,Percent,15.5%-15.5%,15.5,15.5,0,0
Gilles Marini,8,7,Percent,20.8%-20.9%,20.8,20.9,0.1,0.001
Lawrence Taylor,8,7,Percent,5.7%-5.7%,5.7,5.7,0,0
Ty Murray,8,7,Percent,2.6%-2.7%,2.6,2.7,0.1,0.001
Shawn Johnson,8,7,Percent,26.5%-26.7%,26.5,26.7,0.2,0.002
Chuck Wicks,8,7,Percent,10.7%-10.7%,10.7,10.7,0,0
Lil' Kim,8,7,Percent,14.4%-14.5%,14.4,14.5,0.1,0.001
Melissa Rycroft,8,7,Percent,19.0%-19.1%,19,19.1,0.1,0.001
Gilles Marini,8,8,Percent,25.6%-25.7%,25.6,25.7,0.1,0.001
Ty Murray,8,8,Percent,4.8%-5.0%,4.8,5,0.2,0.002
Shawn Johnson,8,8,Percent,29.2%-29.3%,29.2,29.3,0.1,0.001
Chuck Wicks,8,8,Percent,7.7%-7.9%,7.7,7.9,0.2,0.002
Lil' Kim,8,8,Percent,21.5%-21.5%,21.5,21.5,0,0
Melissa Rycroft,8,8,Percent,10.9%-10.9%,10.9,10.9,0,0
Gilles Marini,8,9,Percent,24.0%-24.0%,24,24,0,0
Ty Murray,8,9,Percent,10.2%-10.2%,10.2,10.2,0,0
Shawn Johnson,8,9,Percent,27.7%-27.7%,27.7,27.7,0,0
Lil' Kim,8,9,Percent,16.5%-16.5%,16.5,16.5,0,0
Melissa Rycroft,8,9,Percent,21.6%-21.6%,21.6,21.6,0,0
Gilles Marini,8,10,Percent,36.3%-36.4%,36.3,36.4,0.1,0.001
Ty Murray,8,10,Percent,6.9%-6.9%,6.9,6.9,0,0
Shawn Johnson,8,10,Percent,32.4%-32.4%,32.4,32.4,0,0
Melissa Rycroft,8,10,Percent,24.3%-24.3%,24.3,24.3,0,0
Gilles Marini,8,11,Percent,30.4%-30.4%,30.4,30.4,0,0
Shawn Johnson,8,11,Percent,49.9%-49.9%,49.9,49.9,0,0
Melissa Rycroft,8,11,Percent,19.6%-19.6%,19.6,19.6,0,0
Billy Dee Williams,18,1,Percent,0.4%-0.4%,0.4,0.4,0,0
Danica McKellar,18,1,Percent,9.6%-9.7%,9.6,9.7,0.1,0.001
James Maslow,18,1,Percent,10.9%-10.9%,10.9,10.9,0,0
Candace Cameron Bure,18,1,Percent,13.0%-13.0%,13,13,0,0
Sean Avery,18,1,Percent,3.2%-3.2%,3.2,3.2,0,0
Diana Nyad,18,1,Percent,1.6%-1.7%,1.6,1.7,0.1,0.001
Charlie White,18,1,Percent,12.4%-12.5%,12.4,12.5,0.1,0.001
Amy Purdy,18,1,Percent,14.1%-14.1%,14.1,14.1,0,0
Meryl Davis,18,1,Percent,16.4%-16.5%,16.4,16.5,0.1,0.001
Drew Carey,18,1,Percent,4.5%-4.6%,4.5,4.6,0.1,0.001
Cody Simpson,18,1,Percent,6.3%-6.3%,6.3,6.3,0,0
NeNe Leakes,18,1,Percent,7.3%-7.3%,7.3,7.3,0,0
Billy Dee Williams,18,2,Percent,0.2%-0.2%,0.2,0.2,0,0
Danica McKellar,18,2,Percent,10.4%-10.5%,10.4,10.5,0.1,0.001
James Maslow,18,2,Percent,15.1%-15.2%,15.1,15.2,0.1,0.001
Candace Cameron Bure,18,2,Percent,9.4%-9.5%,9.4,9.5,0.1,0.001
Sean Avery,18,2,Percent,3.2%-3.3%,3.2,3.3,0.1,0.001
Charlie White,18,2,Percent,11.9%-12.0%,11.9,12,0.1,0.001
Amy Purdy,18,2,Percent,13.8%-14.0%,13.8,14,0.2,0.002
Meryl Davis,18,2,Percent,17.8%-17.9%,17.8,17.9,0.1,0.001
Drew Carey,18,2,Percent,4.2%-4.3%,4.2,4.3,0.1,0.001
Cody Simpson,18,2,Percent,6.1%-6.2%,6.1,6.2,0.1,0.001
NeNe Leakes,18,2,Percent,7.2%-7.3%,7.2,7.3,0.1,0.001
Danica McKellar,18,3,Percent,11.0%-11.0%,11,11,0,0
James Maslow,18,3,Percent,15.7%-15.7%,15.7,15.7,0,0
Candace Cameron Bure,18,3,Percent,9.1%-9.2%,9.1,9.2,0.1,0.001
Charlie White,18,3,Percent,12.5%-12.5%,12.5,12.5,0,0
Amy Purdy,18,3,Percent,16.9%-17.1%,16.9,17.1,0.2,0.002
Meryl Davis,18,3,Percent,22.9%-23.1%,22.9,23.1,0.2,0.002
Drew Carey,18,3,Percent,0.6%-0.6%,0.6,0.6,0,0
Cody Simpson,18,3,Percent,6.7%-6.7%,6.7,6.7,0,0
NeNe Leakes,18,3,Percent,4.3%-4.5%,4.3,4.5,0.2,0.002
Danica McKellar,18,4,Percent,9.0%-9.0%,9,9,0,0
James Maslow,18,4,Percent,18.2%-18.3%,18.2,18.3,0.1,0.001
Candace Cameron Bure,18,4,Percent,7.1%-7.1%,7.1,7.1,0,0
Charlie White,18,4,Percent,11.3%-11.3%,11.3,11.3,0,0
Amy Purdy,18,4,Percent,16.0%-16.0%,16,16,0,0
Meryl Davis,18,4,Percent,26.9%-27.0%,26.9,27,0.1,0.001
Drew Carey,18,4,Percent,3.4%-3.4%,3.4,3.4,0,0
Cody Simpson,18,4,Percent,2.0%-2.0%,2,2,0,0
NeNe Leakes,18,4,Percent,6.0%-6.0%,6,6,0,0
Danica McKellar,18,5,Percent,12.8%-12.9%,12.8,12.9,0.1,0.001
James Maslow,18,5,Percent,18.6%-18.7%,18.6,18.7,0.1,0.001
Candace Cameron Bure,18,5,Percent,11.5%-11.5%,11.5,11.5,0,0
Charlie White,18,5,Percent,10.5%-10.6%,10.5,10.6,0.1,0.001
Amy Purdy,18,5,Percent,15.3%-15.3%,15.3,15.3,0,0
Meryl Davis,18,5,Percent,17.7%-17.8%,17.7,17.8,0.1,0.001
Drew Carey,18,5,Percent,0.6%-0.6%,0.6,0.6,0,0
Cody Simpson,18,5,Percent,4.5%-4.5%,4.5,4.5,0,0
NeNe Leakes,18,5,Percent,8.2%-8.2%,8.2,8.2,0,0
Danica McKellar,18,6,Percent,10.8%-10.9%,10.8,10.9,0.1,0.001
James Maslow,18,6,Percent,15.7%-15.8%,15.7,15.8,0.1,0.001
Candace Cameron Bure,18,6,Percent,8.5%-8.7%,8.5,8.7,0.2,0.002
Charlie White,18,6,Percent,12.6%-12.7%,12.6,12.7,0.1,0.001
Amy Purdy,18,6,Percent,19.5%-19.6%,19.5,19.6,0.1,0.001
Meryl Davis,18,6,Percent,25.8%-26.0%,25.8,26,0.2,0.002
Drew Carey,18,6,Percent,1.0%-1.1%,1,1.1,0.1,0.001
NeNe Leakes,18,6,Percent,5.5%-5.7%,5.5,5.7,0.2,0.002
Danica McKellar,18,7,Percent,9.9%-9.9%,9.9,9.9,0,0
James Maslow,18,7,Percent,16.0%-16.0%,16,16,0,0
Candace Cameron Bure,18,7,Percent,14.4%-14.4%,14.4,14.4,0,0
Charlie White,18,7,Percent,8.1%-8.1%,8.1,8.1,0,0
Amy Purdy,18,7,Percent,20.6%-20.6%,20.6,20.6,0,0
Meryl Davis,18,7,Percent,28.9%-29.0%,28.9,29,0.1,0.001
NeNe Leakes,18,7,Percent,2.0%-2.1%,2,2.1,0.1,0.001
Danica McKellar,18,8,Percent,7.1%-7.2%,7.1,7.2,0.1,0.001
James Maslow,18,8,Percent,13.3%-13.3%,13.3,13.3,0,0
Candace Cameron Bure,18,8,Percent,5.4%-5.4%,5.4,5.4,0,0
Charlie White,18,8,Percent,17.4%-17.5%,17.4,17.5,0.1,0.001
Amy Purdy,18,8,Percent,30.8%-30.9%,30.8,30.9,0.1,0.001
Meryl Davis,18,8,Percent,25.8%-25.9%,25.8,25.9,0.1,0.001
James Maslow,18,9,Percent,19.5%-19.6%,19.5,19.6,0.1,0.001
Candace Cameron Bure,18,9,Percent,8.4%-8.4%,8.4,8.4,0,0
Charlie White,18,9,Percent,11.1%-11.1%,11.1,11.1,0,0
Amy Purdy,18,9,Percent,24.7%-24.8%,24.7,24.8,0.1,0.001
Meryl Davis,18,9,Percent,36.1%-36.2%,36.1,36.2,0.1,0.001
James Maslow,18,10,Percent,22.8%-22.8%,22.8,22.8,0,0
Candace Cameron Bure,18,10,Percent,9.1%-9.2%,9.1,9.2,0.1,0.001
Amy Purdy,18,10,Percent,28.2%-28.2%,28.2,28.2,0,0
Meryl Davis,18,10,Percent,39.8%-39.9%,39.8,39.9,0.1,0.001
Gilles Marini,15,1,Percent,12.1%-12.2%,12.1,12.2,0.1,0.001
Sabrina Bryan,15,1,Percent,9.7%-9.8%,9.7,9.8,0.1,0.001
Kirstie Alley,15,1,Percent,13.6%-13.8%,13.6,13.8,0.2,0.002
Kelly Monaco,15,1,Percent,10.9%-11.1%,10.9,11.1,0.2,0.002
Apolo Anton Ohno,15,1,Percent,2.3%-2.4%,2.3,2.4,0.1,0.001
Emmitt Smith,15,1,Percent,16.4%-16.6%,16.4,16.6,0.2,0.002
Shawn Johnson,15,1,Percent,8.6%-8.7%,8.6,8.7,0.1,0.001
Pamela Anderson,15,1,Percent,6.2%-6.4%,6.2,6.4,0.2,0.002
Helio Castroneves,15,1,Percent,7.6%-7.8%,7.6,7.8,0.2,0.002
Joey Fatone,15,1,Percent,0.6%-0.6%,0.6,0.6,0,0
Drew Lachey,15,1,Percent,1.8%-1.9%,1.8,1.9,0.1,0.001
Bristol Palin,15,1,Percent,5.4%-5.6%,5.4,5.6,0.2,0.002
Melissa Rycroft,15,1,Percent,3.9%-4.0%,3.9,4,0.1,0.001
Gilles Marini,15,2,Percent,13.0%-13.1%,13,13.1,0.1,0.001
Sabrina Bryan,15,2,Percent,14.8%-14.9%,14.8,14.9,0.1,0.001
Kirstie Alley,15,2,Percent,17.2%-17.4%,17.2,17.4,0.2,0.002
Kelly Monaco,15,2,Percent,9.6%-9.7%,9.6,9.7,0.1,0.001
Apolo Anton Ohno,15,2,Percent,3.8%-3.9%,3.8,3.9,0.1,0.001
Emmitt Smith,15,2,Percent,10.8%-10.9%,10.8,10.9,0.1,0.001
Shawn Johnson,15,2,Percent,12.1%-12.2%,12.1,12.2,0.1,0.001
Helio Castroneves,15,2,Percent,7.5%-7.6%,7.5,7.6,0.1,0.001
Joey Fatone,15,2,Percent,1.9%-2.0%,1.9,2,0.1,0.001
Drew Lachey,15,2,Percent,1.4%-1.5%,1.4,1.5,0.1,0.001
Bristol Palin,15,2,Percent,1.3%-1.4%,1.3,1.4,0.1,0.001
Melissa Rycroft,15,2,Percent,6.0%-6.1%,6,6.1,0.1,0.001
Gilles Marini,15,3,Percent,7.3%-8.0%,7.3,8,0.7,0.007
Sabrina Bryan,15,3,Percent,9.0%-9.5%,9,9.5,0.5,0.005
Kirstie Alley,15,3,Percent,15.9%-16.3%,15.9,16.3,0.4,0.004
Kelly Monaco,15,3,Percent,17.0%-17.7%,17,17.7,0.7,0.007
Apolo Anton Ohno,15,3,Percent,2.2%-2.5%,2.2,2.5,0.3,0.003
Emmitt Smith,15,3,Percent,11.5%-11.9%,11.5,11.9,0.4,0.004
Shawn Johnson,15,3,Percent,12.5%-13.1%,12.5,13.1,0.6,0.006
Helio Castroneves,15,3,Percent,6.5%-7.9%,6.5,7.9,1.4,0.014
Drew Lachey,15,3,Percent,0.5%-0.5%,0.5,0.5,0,0
Bristol Palin,15,3,Percent,4.2%-4.6%,4.2,4.6,0.4,0.004
Melissa Rycroft,15,3,Percent,10.3%-10.5%,10.3,10.5,0.2,0.002
Gilles Marini,15,4,Percent,14.7%-15.4%,14.7,15.4,0.7,0.007
Sabrina Bryan,15,4,Percent,9.0%-9.5%,9,9.5,0.5,0.005
Kirstie Alley,15,4,Percent,13.1%-13.4%,13.1,13.4,0.3,0.003
Kelly Monaco,15,4,Percent,18.5%-18.7%,18.5,18.7,0.2,0.002
Apolo Anton Ohno,15,4,Percent,0.6%-0.7%,0.6,0.7,0.1,0.001
Emmitt Smith,15,4,Percent,13.8%-14.1%,13.8,14.1,0.3,0.003
Shawn Johnson,15,4,Percent,16.4%-16.7%,16.4,16.7,0.3,0.003
Bristol Palin,15,4,Percent,5.2%-5.5%,5.2,5.5,0.3,0.003
Melissa Rycroft,15,4,Percent,7.1%-7.4%,7.1,7.4,0.3,0.003
Gilles Marini,15,5,Percent,11.4%-12.1%,11.4,12.1,0.7,0.007
Sabrina Bryan,15,5,Percent,21.9%-22.7%,21.9,22.7,0.8,0.008
Kirstie Alley,15,5,Percent,20.3%-20.8%,20.3,20.8,0.5,0.005
Kelly Monaco,15,5,Percent,4.7%-5.3%,4.7,5.3,0.6,0.006
Apolo Anton Ohno,15,5,Percent,1.1%-1.2%,1.1,1.2,0.1,0.001
Emmitt Smith,15,5,Percent,17.2%-18.0%,17.2,18,0.8,0.008
Shawn Johnson,15,5,Percent,13.8%-14.3%,13.8,14.3,0.5,0.005
Melissa Rycroft,15,5,Percent,8.0%-8.2%,8,8.2,0.2,0.002
Gilles Marini,15,6,Percent,7.7%-7.7%,7.7,7.7,0,0
Sabrina Bryan,15,6,Percent,14.5%-14.5%,14.5,14.5,0,0
Kirstie Alley,15,6,Percent,21.7%-21.7%,21.7,21.7,0,0
Kelly Monaco,15,6,Percent,12.5%-12.5%,12.5,12.5,0,0
Apolo Anton Ohno,15,6,Percent,8.6%-8.6%,8.6,8.6,0,0
Emmitt Smith,15,6,Percent,10.1%-10.1%,10.1,10.1,0,0
Shawn Johnson,15,6,Percent,11.4%-11.4%,11.4,11.4,0,0
Melissa Rycroft,15,6,Percent,13.5%-13.5%,13.5,13.5,0,0
Gilles Marini,15,7,Percent,8.4%-9.3%,8.4,9.3,0.9,0.009
Kirstie Alley,15,7,Percent,14.2%-14.6%,14.2,14.6,0.4,0.004
Kelly Monaco,15,7,Percent,20.2%-20.9%,20.2,20.9,0.7,0.007
Apolo Anton Ohno,15,7,Percent,0.8%-0.9%,0.8,0.9,0.1,0.001
Emmitt Smith,15,7,Percent,17.4%-17.9%,17.4,17.9,0.5,0.005
Shawn Johnson,15,7,Percent,21.7%-22.1%,21.7,22.1,0.4,0.004
Melissa Rycroft,15,7,Percent,15.4%-15.7%,15.4,15.7,0.3,0.003
Gilles Marini,15,8,Percent,12.3%-12.3%,12.3,12.3,0,0
Kirstie Alley,15,8,Percent,15.9%-15.9%,15.9,15.9,0,0
Kelly Monaco,15,8,Percent,19.0%-19.0%,19,19,0,0
Apolo Anton Ohno,15,8,Percent,6.0%-6.0%,6,6,0,0
Emmitt Smith,15,8,Percent,22.4%-22.4%,22.4,22.4,0,0
Shawn Johnson,15,8,Percent,9.9%-10.0%,9.9,10,0.1,0.001
Melissa Rycroft,15,8,Percent,14.4%-14.4%,14.4,14.4,0,0
Kelly Monaco,15,9,Percent,24.7%-24.6%,24.6,24.7,0.1,0.001
Apolo Anton Ohno,15,9,Percent,4.9%-5.4%,4.9,5.4,0.5,0.005
Emmitt Smith,15,9,Percent,20.0%-20.1%,20,20.1,0.1,0.001
Shawn Johnson,15,9,Percent,33.5%-34.1%,33.5,34.1,0.6,0.006
Melissa Rycroft,15,9,Percent,16.3%-16.4%,16.3,16.4,0.1,0.001
Kelly Monaco,15,10,Percent,39.2%-39.2%,39.2,39.2,0,0
Shawn Johnson,15,10,Percent,27.5%-27.5%,27.5,27.5,0,0
Melissa Rycroft,15,10,Percent,33.3%-33.3%,33.3,33.3,0,0
Ingo Rademacher,16,1,Percent,6.5%-6.8%,6.5,6.8,0.3,0.003
Zendaya,16,1,Percent,15.4%-15.7%,15.4,15.7,0.3,0.003
Dorothy Hamill,16,1,Percent,8.9%-9.0%,8.9,9,0.1,0.001
Victor Ortiz,16,1,Percent,6.0%-6.1%,6,6.1,0.1,0.001
Alexandra Raisman,16,1,Percent,7.9%-8.0%,7.9,8,0.1,0.001
Jacoby Jones,16,1,Percent,10.4%-10.7%,10.4,10.7,0.3,0.003
D. L. Hughley,16,1,Percent,0.1%-0.1%,0.1,0.1,0,0
Andy Dick,16,1,Percent,6.9%-7.5%,6.9,7.5,0.6,0.006
Wynonna Judd,16,1,Percent,5.6%-5.7%,5.6,5.7,0.1,0.001
Kellie Pickler,16,1,Percent,14.7%-14.9%,14.7,14.9,0.2,0.002
Lisa Vanderpump,16,1,Percent,7.1%-7.7%,7.1,7.7,0.6,0.006
Sean Lowe,16,1,Percent,9.1%-9.3%,9.1,9.3,0.2,0.002
Ingo Rademacher,16,2,Percent,5.2%-5.2%,5.2,5.2,0,0
Zendaya,16,2,Percent,18.7%-18.8%,18.7,18.8,0.1,0.001
Dorothy Hamill,16,2,Percent,2.6%-2.7%,2.6,2.7,0.1,0.001
Victor Ortiz,16,2,Percent,3.7%-3.8%,3.7,3.8,0.1,0.001
Alexandra Raisman,16,2,Percent,9.2%-9.3%,9.2,9.3,0.1,0.001
Jacoby Jones,16,2,Percent,12.3%-12.3%,12.3,12.3,0,0
D. L. Hughley,16,2,Percent,0.7%-0.7%,0.7,0.7,0,0
Andy Dick,16,2,Percent,7.6%-7.6%,7.6,7.6,0,0
Wynonna Judd,16,2,Percent,4.2%-4.3%,4.2,4.3,0.1,0.001
Kellie Pickler,16,2,Percent,20.8%-20.8%,20.8,20.8,0,0
Lisa Vanderpump,16,2,Percent,6.1%-6.1%,6.1,6.1,0,0
Sean Lowe,16,2,Percent,8.6%-8.6%,8.6,8.6,0,0
Ingo Rademacher,16,3,Percent,5.7%-5.7%,5.7,5.7,0,0
Zendaya,16,3,Percent,18.4%-18.4%,18.4,18.4,0,0
Victor Ortiz,16,3,Percent,8.8%-8.8%,8.8,8.8,0,0
Alexandra Raisman,16,3,Percent,7.8%-7.8%,7.8,7.8,0,0
Jacoby Jones,16,3,Percent,13.7%-13.8%,13.7,13.8,0.1,0.001
D. L. Hughley,16,3,Percent,0.7%-0.7%,0.7,0.7,0,0
Andy Dick,16,3,Percent,5.2%-5.2%,5.2,5.2,0,0
Wynonna Judd,16,3,Percent,2.4%-2.5%,2.4,2.5,0.1,0.001
Kellie Pickler,16,3,Percent,19.9%-20.0%,19.9,20,0.1,0.001
Lisa Vanderpump,16,3,Percent,7.3%-7.3%,7.3,7.3,0,0
Sean Lowe,16,3,Percent,10.0%-10.0%,10,10,0,0
Ingo Rademacher,16,4,Percent,8.0%-8.0%,8,8,0,0
Zendaya,16,4,Percent,20.6%-20.6%,20.6,20.6,0,0
Victor Ortiz,16,4,Percent,1.5%-1.5%,1.5,1.5,0,0
Alexandra Raisman,16,4,Percent,11.0%-11.1%,11,11.1,0.1,0.001
Jacoby Jones,16,4,Percent,13.5%-13.5%,13.5,13.5,0,0
D. L. Hughley,16,4,Percent,7.4%-7.4%,7.4,7.4,0,0
Andy Dick,16,4,Percent,6.4%-6.4%,6.4,6.4,0,0
Kellie Pickler,16,4,Percent,23.3%-23.4%,23.3,23.4,0.1,0.001
Lisa Vanderpump,16,4,Percent,2.8%-2.9%,2.8,2.9,0.1,0.001
Sean Lowe,16,4,Percent,5.3%-5.4%,5.3,5.4,0.1,0.001
Ingo Rademacher,16,5,Percent,4.9%-4.9%,4.9,4.9,0,0
Zendaya,16,5,Percent,22.8%-22.8%,22.8,22.8,0,0
